,Country,Index value in points
0,Switzerland,91.19
1,Netherlands,90.71
2,Belgium,90.59
3,Sweden,89.93
4,United Kingdom,89.84
5,Austria,88.85
6,Germany,88.6
7,Denmark,88.26
8,Finland,87.7
9,France,87.25
10,Norway,86.17
11,Spain,85.7
12,Czech Republic,85.6
13,Hungary,84.98
14,Portugal,84.72
15,Canada,84.64
16,Ireland,84.47
17,Estonia,83.77
18,Slovak Republic,83.72
19,Singapore,83.62
20,Luxembourg,83.6
21,Italy,83.37
22,United States,82.41
23,Greece,82.38
24,Australia,81.99
25,Malaysia,81.49
26,Croatia,81.42
27,Lithuania,81.34
28,Poland,81.33
29,Slovenia,81.14
30,Bulgaria,80.78
31,Latvia,80.57
32,Romania,79.74
33,"Korea, Rep.",79.29
34,Cyprus,79.14
35,Serbia,78.98
36,Japan,78.59
37,New Zealand,78.34
38,Malta,77.79
39,Chile,77.74
40,Israel,76.82
41,Georgia,75.55
42,United Arab Emirates,74.95
43,Qatar,74.88
44,Ukraine,74.83
45,Jordan,73.99
46,Uruguay,73.33
47,Panama,72.99
48,Mexico,72.56
49,Mauritius,72.47
