,Country,National debt in billion euros
0,France,2358.9
1,Italy,2358.54
2,United Kingdom,2121.94
3,Germany,2077.66
4,Spain,1200.26
5,Belgium,477.13
6,Netherlands,398.04
7,Greece,337.41
8,Austria,282.62
9,Portugal,250.36
10,Poland,245.29
11,Ireland,215.48
12,Sweden,169.25
13,Finland,138.79
14,Denmark,101.06
15,Hungary,93.91
16,Czech Republic,71.19
17,Romania,69.19
18,Slowakia,44.8
19,Croatia,38.72
20,Slovenia,31.58
21,Cyprus,22.0
22,Lithuania,15.63
23,Luxembourg,12.63
24,Bulgaria,12.01
25,Latvia,11.15
26,Malta,5.85
27,Estonia,2.11
