,Album And Artist,Certified sales in millions
0,Eagles - Eagles/Their Greatest Hits 1971-1975,38
1,Michael Jackson - Thriller,33
2,Eagles - Hotel California,26
3,Billy Joel - Greatest Hits Volume I & Volume II,23
4,Led Zeppelin - Led Zeppelin IV,23
5,Pink Floyd - The Wall,23
6,AC/DC - Back in Black,22
7,Garth Brooks - Double Live,21
8,Hootie & The Blowfish - Cracked Rear View,21
9,Fleetwood Mac - Rumours,20
10,Shania Twain - Come on Over,20
11,The Beatles - The Beatles,24
12,Guns N' Roses - Appetite for Destruction,18
13,Whitney Houston - The Bodyguard (Soundtrack),18
14,Boston - Boston,17
15,Elton John - Greatest Hits,17
16,Garth Brooks - No Fences,17
17,The Beatles - The Beatles 1967-1970,17
18,Alanis Morissette - Jagged Little Pill,16
19,Bee Gees - Saturday Night Fever (Soundtrack),16
20,Led Zeppelin - Physical Graffiti,16
21,Metallica - Metallica,16
