,Year,Number of households (in millions)
0,2019,36.48
1,2018,35.74
2,2017,35.25
3,2016,35.39
4,2015,34.87
5,2014,34.19
6,2013,33.57
7,2012,33.19
8,2011,33.02
9,2010,31.4
10,2009,31.66
11,2008,32.17
12,2007,31.13
13,2006,30.45
14,2005,30.14
15,2004,29.59
16,2003,29.43
17,2002,28.78
18,2001,28.21
19,2000,26.72
20,1999,26.61
21,1998,26.33
22,1997,25.4
23,1996,24.9
24,1995,24.73
25,1994,23.61
26,1993,23.64
27,1992,23.97
28,1991,23.59
29,1990,23.0
30,1985,20.6
31,1980,18.3
32,1975,13.94
33,1970,10.85
34,1960,6.9
