,NBA Teams,Revenue in million U.S. dollars
0,New York Knicks,472
1,Golden State Warriors,440
2,Los Angeles Lakers,434
3,Houston Rockets,348
4,Toronto Raptors,334
5,Dallas Mavericks,307
6,Boston Celtics,304
7,Brooklyn Nets,304
8,Chicago Bulls,301
9,Philadelphia 76ers,300
10,Cleveland Cavaliers,300
11,Miami Heat,294
12,Portland Trail Blazers,287
13,Sacramento Kings,286
14,San Antonio Spurs,285
15,Milwaukee Bucks,283
16,Los Angeles Clippers,282
17,Washington Wizards,269
18,Oklahoma City Thunder,258
19,Utah Jazz,258
20,Detroit Pistons,255
21,Denver Nuggets,252
22,Atlanta Hawks,251
23,Phoenix Suns,246
24,Orlando Magic,244
25,Indiana Pacers,243
26,Charlotte Hornets,240
27,Minnesota Timberwolves,234
28,Memphis Grizzlies,224
29,New Orleans Pelicans,224
