,Country,Points achieved in World Cups
0,Brazil,237
1,Germany,221
2,Italy,156
3,Argentina,144
4,France,115
5,England,108
6,Spain,105
7,Netherlands,93
8,Uruguay,84
9,Sweden,73
10,Belgium,69
11,Mexico,62
12,Yugoslavia,56
13,Poland,53
14,"USSR, Russia",51
15,Hungary,48
16,Portugal,48
17,Switzerland,44
18,Austria,40
19,Chile,40
20,"Czechoslovakia, Czech Republic",38
21,Croatia,37
22,Denmark,32
23,Paraguay,31
24,Colombia,30
25,United States,30
26,Romania,29
27,South Korea,27
28,Nigeria,21
29,Costa Rica,20
30,Japan,20
