,Teams,Average player salary in million U.S. dollars
0,Los Angeles Kings,3.54
1,Minnesota Wild,3.51
2,Pittsburgh Penguins,3.24
3,Winnipeg Jets,3.23
4,Nashville Predators,3.23
5,Calgary Flames,3.15
6,St Louis Blues,3.08
7,San Jose Sharks,3.07
8,Buffalo Sabres,3.02
9,Washington Capitals,2.99
10,Philadelphia Flyers,2.99
11,Florida Panthers,2.98
12,Colorado Avalanche,2.93
13,New York Rangers,2.92
14,Detroit Red Wings,2.91
15,Tampa Bay Lightning,2.89
16,Vegas Golden Knights,2.81
17,New York Islanders,2.8
18,Anaheim Ducks,2.71
19,Dallas Stars,2.7
20,Columbus Blue Jackets,2.63
21,Boston Bruins,2.52
22,Carolina Hurricanes,2.49
23,Chicago Blackhawks,2.48
24,Ottawa Senators,2.46
25,Edmonton Oilers,2.44
26,New Jersey Devils,2.42
27,Arizona Coyotes,2.36
28,Montreal Canadiens,2.19
29,Vancouver Canucks,2.08
30,Toronto Maple Leafs,1.54
