,Month,Personal saving rate
0,Jan 20,7.9%
1,Dec 19,7.5%
2,Nov 19,7.8%
3,Oct 19,7.7%
4,Sep 19,7.8%
5,Aug 19,7.7%
6,Jul 19,7.4%
7,Jun 19,7.8%
8,May 19,7.8%
9,Apr 19,8%
10,Mar 19,8.4%
11,Feb 19,8.8%
12,Jan 19,8.3%
13,Dec 18,8.8%
14,Nov 18,7.2%
15,Oct 18,7.3%
16,Sep 18,7.5%
17,Aug 18,7.5%
18,Jul 18,7.5%
19,Jun 18,7.6%
20,May 18,7.5%
21,Apr 18,7.7%
22,Mar 18,8%
23,Feb 18,8%
24,Jan 18,7.7%
25,Dec 17,6.7%
26,Nov 17,6.7%
27,Oct 17,6.9%
28,Sep 17,6.8%
29,Aug 17,7.1%
30,Jul 17,7%
31,Jun 17,6.9%
32,May 17,7.2%
33,Apr 17,7%
34,Mar 17,7.2%
35,Feb 17,7.1%
36,Jan 17,6.8%
37,Dec 16,6.3%
38,Nov 16,6.5%
39,Oct 16,6.5%
40,Sep 16,6.5%
41,Aug 16,6.5%
42,Jul 16,6.5%
43,Jun 16,6.3%
44,May 16,6.3%
45,Apr 16,7%
46,Mar 16,7.5%
47,Feb 16,7.2%
48,Jan 16,7.7%
49,Dec 15,5.8%
50,Nov 15,6.1%
51,Oct 15,6.3%
52,Sep 15,6%
53,Aug 15,6%
54,Jul 15,6%
55,Jun 15,6.3%
