,Month,Number of podium finishes
0,Michael Schumacher,155
1,Lewis Hamilton,151
2,Sebastian Vettel,120
3,Alain Prost,106
4,Kimi Räikkönen,103
5,Fernando Alonso,97
6,Ayrton Senna,80
7,Rubens Barrichello,68
8,David Coulthard,62
9,Nelson Piquet,60
10,Nigel Mansell,59
11,Nico Rosberg,57
12,Niki Lauda,54
13,Mika Häkkinen,51
14,Jenson Button,50
15,Gerhard Berger,48
16,Valtteri Bottas,45
17,Carlos Reutemann,45
18,Jackie Stewart,43
19,Damon Hill,42
20,Mark Webber,42
21,Felipe Massa,41
22,Riccardo Patrese,37
23,Emerson Fittipaldi,35
24,Graham Hill,35
