,City Name,Average price per night in U.S. dollars
0,"Tirana, Albania",30
1,"Madeira, Portugal",35
2,"Delft, Netherlands",41
3,"Bangkok, Thailand",41
4,"Sofia, Bulgaria",42
5,"Bucharest, Romania",44
6,"Belgrade, Serbia",44
7,"Hammamet, Tunisia",46
8,"Sarajevo, Bosnia and Herzegovina",47
9,"Mons, Belgium",50
10,"Reims, France",55
11,"Zagreb, Croatia",56
12,"Tbilisi, Georgia",56
13,"Dortmund, Germany",56
14,"Athens, Greece",56
15,"Warsaw, Poland",56
16,"Antalya, Turkey",56
17,"Cairo, Egypt",57
18,"Crete, Greece",57
19,"Budapest, Hungary",59
