,University,Reputation score
0,Harvard University (US),100.0
1,Massachusetts Institute of Technology (US),85.4
2,Stanford University (US),77.3
3,University of Cambridge (UK),72.3
4,University of Oxford (UK),71.3
5,"University of California, Berkeley (US)",57.0
6,Princeton University (US),37.5
7,Yale University (US),36.7
8,"University of California, Los Angeles (US)",28.1
9,University of Chicago (US),26.6
10,University of Tokyo (Japan),25.6
11,California Institute of Technology (US),25.2
12,Columbia University (US),25.1
13,Tsinghua University (China),20.1
14,University of Michigan-Ann Arbor (US),20.0
15,Johns Hopkins University (US),17.5
16,Peking University (China),17.3
17,UCL (UK),17.3
18,University of Toronto (Canada),17.0
19,ETH Zurich (Switzerland),16.8
