,Month,Percentage change**
0,Sep 19,6.6%
1,Aug 19,8.5%
2,Jul 19,13.2%
3,Jun 19,17.9%
4,May 19,6.5%
5,Apr 19,15.9%
6,Mar 19,12.3%
7,Feb 19,12%
8,Jan 19,11%
9,Dec 18,13.4%
10,Nov 18,19.2%
11,Oct 18,13.8%
12,Sep 18,18.7%
13,Aug 18,11.8%
14,Jul 18,16%
15,Jun 18,18.9%
16,May 18,24%
17,Apr 18,24.5%
18,Mar 18,13.2%
19,Feb 18,10.9%
20,Jan 18,18%
21,Dec 17,20.5%
22,Nov 17,15.6%
23,Oct 17,19.1%
24,Sep 17,24.9%
25,Aug 17,22.2%
26,Jul 17,18.4%
27,Jun 17,17.3%
28,May 17,13.4%
29,Apr 17,9.7%
30,Mar 17,25.9%
31,Feb 17,16.5%
32,Jan 17,12.9%
33,Dec 16,8.2%
34,Nov 16,10.2%
35,Oct 16,7.2%
36,Sep 16,-1.2%
37,Aug 16,-3%
38,Jul 16,9.6%
39,Jun 16,-0.5%
40,May 16,12.7%
41,Apr 16,4.4%
42,Mar 16,3.1%
43,Feb 16,12.7%
44,Jan 16,9.9%
45,Dec 15,10.2%
46,Nov 15,18.9%
47,Oct 15,15.6%
48,Sep 15,9%
49,Aug 15,12.7%
50,Jul 15,6%
51,Jun 15,17.1%
52,May 15,1.8%
53,Apr 15,16%
54,Mar 15,7.9%
55,Feb 15,8.9%
56,Jan 15,13.9%
57,Dec 14,20.4%
58,Nov 14,20.3%
59,Oct 14,16.9%
60,Sep 14,14.3%
61,Aug 14,34%
62,Jul 14,20.8%
63,Jun 14,22.1%
64,May 14,22.8%
65,Apr 14,11.6%
66,Mar 14,6.7%
67,Feb 14,14%
68,Jan 14,17.2%
69,Dec 13,4.8%
70,Nov 13,29.9%
71,Oct 13,3%
72,Sep 13,20.4%
73,Aug 13,6.4%
74,Jul 13,6.4%
75,Jun 13,21.8%
76,May 13,15.1%
77,Apr 13,18.3%
78,Mar 13,21.2%
79,Feb 13,12.6%
80,Jan 13,10.7%
