,State,Number of motor vehicle thefts
0,California,141757
1,Texas,77489
2,Florida,39048
3,Washington,24402
4,Georgia,23776
5,Colorado,22113
6,Missouri,21072
7,Tennessee,19180
8,Illinois,18775
9,Ohio,18672
10,Arizona,18151
11,North Carolina,18061
12,Michigan,17744
13,Oregon,15185
14,South Carolina,14975
15,Indiana,13723
16,Oklahoma,13378
17,New York,12704
18,Alabama,12577
19,Pennsylvania,12390
20,Nevada,11260
21,Maryland,11259
22,Minnesota,11217
23,Louisiana,10716
24,New Jersey,10336
25,Virginia,10269
26,Kentucky,10196
27,New Mexico,8957
28,Arkansas,7420
29,Wisconsin,7385
30,Kansas,7279
31,Utah,6738
32,Massachusetts,6132
33,Connecticut,5964
34,Mississippi,5747
35,Hawaii,5254
36,Iowa,5142
37,Nebraska,4985
38,Alaska,2617
39,West Virginia,2419
40,Montana,2377
41,District of Columbia,2333
42,North Dakota,1792
43,South Dakota,1756
44,Delaware,1604
45,Idaho,1571
46,Rhode Island,1358
47,New Hampshire,893
48,Maine,726
49,Wyoming,713
50,Vermont,298
