,Month,Units sold
0,Dec 19,745
1,Nov 19,1044
2,Oct 19,1098
3,Sep 19,3852
4,Aug 19,424
5,Jul 19,1118
6,Jun 19,1199
7,May 19,943
8,Apr 19,884
9,Mar 19,3137
10,Feb 19,262
11,Jan 19,1007
12,Dec 18,420
13,Nov 18,663
14,Oct 18,674
15,Sep 18,2686
16,Aug 18,270
17,Jul 18,784
18,Jun 18,1306
19,May 18,851
20,Apr 18,678
21,Mar 18,3006
22,Feb 18,180
23,Jan 18,887
24,Dec 17,772
25,Nov 17,775
26,Oct 17,725
27,Sep 17,2908
28,Aug 17,205
29,Jul 17,843
30,Jun 17,1161
31,May 17,715
32,Apr 17,672
33,Mar 17,2888
34,Feb 17,206
35,Jan 17,800
36,Dec 16,750
37,Nov 16,931
38,Oct 16,812
39,Sep 16,2998
40,Aug 16,234
41,Jul 16,774
