,Year,Inflation rate compared to previous year
0,2024*,2.85%
1,2023*,3.1%
2,2022*,3.3%
3,2021*,3.43%
4,2020*,3.5%
5,2019*,2.41%
6,2018,1.6%
7,2017,1.98%
8,2016,-0.58%
9,2015,-0.93%
10,2014,-0.03%
11,2013,0.9%
12,2012,3.7%
13,2011,4.27%
14,2010,2.58%
15,2009,3.45%
16,2008,4.22%
17,2007,2.49%
18,2006,1.03%
19,2005,2.13%
20,2004,3.49%
21,2003,0.84%
22,2002,1.9%
23,2001,5.5%
24,2000,10.1%
25,1999,7.3%
26,1998,11.8%
27,1997,14.9%
28,1996,19.9%
29,1995,27.88%
30,1994,32.2%
31,1993,35.3%
32,1992,43%
33,1991,70.3%
34,1990,585.8%
35,1989,251.1%
36,1988,60.2%
37,1987,25.23%
38,1986,17.79%
39,1985,15.11%
40,1984,75.65%
