,Month,Yield spread
0,Oct-20,0.64%
1,Sep-20,0.55%
2,Aug-20,0.51%
3,Jul-20,0.47%
4,Jun-20,0.55%
5,May-20,0.5%
6,Apr-20,0.44%
7,Mar-20,0.42%
8,Feb-20,0.17%
9,Jan-20,0.24%
10,Dec-19,0.25%
11,Nov-19,0.2%
12,Oct-19,0.16%
13,Sep-19,0.05%
14,Aug-19,0.06%
15,Jul-19,0.22%
16,Jun-19,0.26%
17,May-19,0.19%
18,Apr-19,0.19%
19,Mar-19,0.16%
20,Feb-19,0.18%
21,Jan-19,0.17%
22,Dec-18,0.15%
23,Nov-18,0.26%
24,Oct-18,0.29%
25,Sep-18,0.23%
26,Aug-18,0.25%
27,Jul-18,0.28%
28,Jun-18,0.38%
29,May-18,0.47%
30,Apr-18,0.49%
31,Mar-18,0.56%
32,Feb-18,0.68%
33,Jan-18,0.55%
34,Dec-17,0.56%
35,Nov-17,0.65%
36,Oct-17,0.81%
37,Sep-17,0.82%
38,Aug-17,0.87%
39,Jul-17,0.95%
40,Jun-17,0.85%
41,May-17,1%
42,Apr-17,1.06%
43,Mar-17,1.17%
44,Feb-17,1.22%
45,Jan-17,1.22%
46,Dec-16,1.29%
47,Nov-16,1.16%
48,Oct-16,0.92%
49,Sep-16,0.86%
50,Aug-16,0.82%
51,Jul-16,0.83%
52,Jun-16,0.91%
53,May-16,0.99%
54,Apr-16,1.04%
55,Mar-16,1.01%
56,Feb-16,1.05%
57,Jan-16,1.19%
58,Dec-15,1.26%
59,Nov-15,1.38%
60,Oct-15,1.43%
61,Sep-15,1.46%
62,Aug-15,1.47%
63,Jul-15,1.65%
64,Jun-15,1.67%
65,May-15,1.59%
66,Apr-15,1.4%
67,Mar-15,1.4%
68,Feb-15,1.36%
69,Jan-15,1.33%
70,Dec-14,1.57%
71,Nov-14,1.8%
72,Oct-14,1.85%
73,Sep-14,1.96%
74,Aug-14,1.95%
75,Jul-14,2.03%
76,Jun-14,2.15%
77,May-14,2.17%
78,Apr-14,2.29%
79,Mar-14,2.32%
80,Feb-14,2.38%
81,Jan-14,2.47%
82,Dec-13,2.56%
83,Nov-13,2.42%
84,Oct-13,2.28%
85,Sep-13,2.41%
86,Aug-13,2.38%
87,Jul-13,2.24%
88,Jun-13,1.97%
89,May-13,1.68%
90,Apr-13,1.53%
91,Mar-13,1.7%
92,Feb-13,1.71%
93,Jan-13,1.64%
94,Dec-12,1.46%
95,Nov-12,1.38%
96,Oct-12,1.47%
97,Sep-12,1.46%
98,Aug-12,1.41%
99,Jul-12,1.28%
100,Jun-12,1.33%
101,May-12,1.51%
102,Apr-12,1.76%
103,Mar-12,1.83%
104,Feb-12,1.69%
105,Jan-12,1.73%
106,Dec-11,1.72%
107,Nov-11,1.76%
108,Oct-11,1.87%
109,Sep-11,1.77%
110,Aug-11,2.07%
111,Jul-11,2.59%
112,Jun-11,2.59%
113,May-11,2.61%
114,Apr-11,2.73%
115,Mar-11,2.71%
116,Feb-11,2.81%
117,Jan-11,2.78%
118,Dec-10,2.67%
119,Nov-10,2.31%
120,Oct-10,2.16%
121,Sep-10,2.17%
122,Aug-10,2.18%
123,Jul-10,2.39%
124,Jun-10,2.48%
125,May-10,2.59%
126,Apr-10,2.79%
127,Mar-10,2.77%
128,Feb-10,2.83%
129,Jan-10,2.8%
130,Dec-09,2.72%
131,Nov-09,2.6%
132,Oct-09,2.44%
133,Sep-09,2.44%
134,Aug-09,2.47%
135,Jul-09,2.54%
136,Jun-09,2.54%
137,May-09,2.36%
138,Apr-09,2%
139,Mar-09,1.89%
140,Feb-09,1.89%
141,Jan-09,1.71%
142,Dec-08,1.6%
143,Nov-08,2.32%
144,Oct-08,2.2%
145,Sep-08,1.61%
146,Aug-08,1.47%
147,Jul-08,1.44%
148,Jun-08,1.33%
149,May-08,1.43%
150,Apr-08,1.63%
151,Mar-08,1.89%
152,Feb-08,1.77%
153,Jan-08,1.26%
154,Dec-07,0.98%
155,Nov-07,0.81%
156,Oct-07,0.56%
157,Sep-07,0.51%
158,Aug-07,0.36%
159,Jul-07,0.18%
160,Jun-07,0.12%
161,May-07,-0.02%
162,Apr-07,0.02%
163,Mar-07,-0.01%
164,Feb-07,-0.13%
165,Jan-07,-0.12%
166,Dec-06,-0.11%
167,Nov-06,-0.14%
168,Oct-06,-0.07%
169,Sep-06,-0.05%
170,Aug-06,-0.02%
171,Jul-06,-0.03%
172,Jun-06,-0.01%
173,May-06,0.14%
174,Apr-06,0.1%
175,Mar-06,-0.01%
176,Feb-06,-0.1%
177,Jan-06,0.02%
