,Soccer player,Transfer value in million euros
0,Kylian Mbappé,259.2
1,Raheem Sterling,194.7
2,Jadon Sancho,179.1
3,Trent Alexander-Arnold,171.1
4,Marcus Rashford,152.3
5,Mohammed Salah,144.9
6,Sadio Mané,139.2
7,Antoine Griezmann,136.4
8,Alphonso Davies,133.5
9,Harry Kane,118.7
10,Roberto Firmino,118.5
11,Bernardo Silva,115.0
12,Gabriel Jesus,113.1
13,João Félix,107.9
14,Erling Haland,107.3
15,Serge Gnabry,106.8
16,Bruno Fernandes,104.9
17,Matthijs de Ligt,104.7
18,Mason Mount,102.5
19,Frenkie de Jong,102.1
