,State,Graduation rate of the class of 2016
0,West Virginia,92%
1,Texas,88.2%
2,Alabama,87.6%
3,Arkansas,85.8%
4,Florida,85.4%
5,New Jersey,84.8%
6,Missouri,84.7%
7,Indiana,84.3%
8,Iowa,83.9%
9,Washington,83.2%
10,Tennessee,83.1%
11,Kentucky,83%
12,Maine,83%
13,Wisconsin,82.4%
14,Nevada,82.3%
15,Delaware,82%
16,Illinois,82%
17,Kansas,81.3%
18,U.S. average,81%
19,Nebraska,80.9%
20,California,80.6%
21,South Carolina,80.5%
22,North Carolina,80%
23,Hawaii,80%
24,Mississippi,79%
25,Montana,79%
26,Vermont,79%
27,Oklahoma,78.9%
28,Connecticut,78.6%
29,Utah,78.1%
30,Rhode Island,77%
31,New Hampshire,76%
32,Alaska,76%
33,Idaho,75.9%
34,Arizona,75.7%
35,North Dakota,75%
36,Wyoming,75%
37,Oregon,74.6%
38,Georgia,74.6%
39,Michigan,74.4%
40,Massachusetts,73.8%
41,Pennsylvania,73.7%
42,Virginia,73.5%
43,Colorado,73.4%
44,New Mexico,73.1%
45,Ohio,72.8%
46,Maryland,72.2%
47,New York,71.6%
48,South Dakota,71%
49,Louisiana,68%
50,Minnesota,66.8%
51,District of Columbia,65%
