,Month,Number of daily recorded cases
0,Jan 3,10356
1,Jan 2,11015
2,Jan 1,17007
3,Dec 31,25345
4,Dec 30,28410
5,Dec 29,19118
6,Dec 28,17323
7,Dec 27,12153
8,Dec 26,10432
9,Dec 25,18411
10,Dec 24,26418
11,Dec 23,31297
12,Dec 22,22495
13,Dec 21,19333
14,Dec 20,20822
15,Dec 19,23970
16,Dec 18,31553
17,Dec 17,30951
18,Dec 16,28969
19,Dec 15,21377
20,Dec 14,18658
21,Dec 13,17891
22,Dec 12,21816
23,Dec 11,28344
24,Dec 10,28179
25,Dec 9,23928
26,Dec 8,18319
27,Dec 7,15161
28,Dec 6,14750
29,Dec 5,17812
30,Dec 4,23541
31,Dec 3,22910
32,Dec 2,20171
33,Dec 1,15898
34,Nov 30,14156
35,Nov 29,13637
36,Nov 28,14645
37,Nov 27,22018
38,Nov 26,21576
39,Nov 25,20825
40,Nov 24,16258
41,Nov 23,14537
42,Nov 22,13840
43,Nov 21,16612
44,Nov 20,23450
45,Nov 19,23676
46,Nov 18,20801
47,Nov 17,16206
48,Nov 16,14582
49,Nov 15,14045
50,Nov 14,16077
51,Nov 13,23184
52,Nov 12,23462
53,Nov 11,20536
54,Nov 10,16668
55,Nov 9,16465
56,Nov 8,14026
57,Nov 7,17119
58,Nov 6,22246
59,Nov 5,21757
60,Nov 4,20228
61,Nov 3,16545
62,Nov 2,16240
63,Nov 1,12556
64,Oct 31,14070
65,Oct 30,19367
66,Oct 29,18732
67,Oct 28,16202
68,Oct 27,13161
69,Oct 26,12621
70,Oct 25,9829
71,Oct 24,10458
72,Oct 23,13476
73,Oct 22,12519
74,Oct 21,10457
75,Oct 20,7167
76,Oct 19,6750
77,Oct 18,5248
78,Oct 17,4941
79,Oct 16,7976
80,Oct 15,7074
81,Oct 14,6063
82,Oct 13,4585
83,Oct 12,4803
84,Oct 11,2838
85,Oct 10,2975
86,Oct 9,4964
87,Oct 8,4401
88,Oct 7,3994
89,Oct 6,2462
90,Oct 5,3086
91,Oct 4,1543
92,Oct 3,1665
93,Oct 2,2833
94,Oct 1,2619
95,Sep 30,2445
96,Sep 29,1848
97,Sep 28,2280
98,Sep 27,1313
99,Sep 26,1319
100,Sep 25,2361
101,Sep 24,2140
102,Sep 23,2029
103,Sep 22,1625
104,Sep 21,2074
105,Sep 20,1169
106,Sep 19,1064
107,Sep 18,2202
108,Sep 17,2177
109,Sep 16,2021
110,Sep 15,1623
111,Sep 14,1923
112,Sep 13,752
113,Sept 12,821
114,Sep 11,1618
115,Sep 10,1758
116,Sep 9,1393
117,Sep 8,1331
118,Sep 7,1901
119,Sep 6,668
120,Sep 5,775
121,Sep 4,1467
122,Sep 3,1423
123,Sep 2,1390
124,Sep 1,1209
125,Aug 31,1497
126,Aug 30,470
127,Aug 29,711
128,Aug 28,1549
129,Aug 27,1565
130,Aug 26,1428
131,Aug 25,1455
132,Aug 24,1628
133,Aug 23,632
134,Aug 22,836
135,Aug 21,1737
136,Aug 20,1584
137,Aug 19,1595
138,Aug 18,1419
139,Aug 17,1689
140,Aug 16,519
141,Aug 15,704
142,Aug 14,1505
143,Aug 13,1419
144,Aug 12,1320
145,Aug 11,1030
146,Aug 10,1219
147,Aug 9,385
148,Aug 8,581
149,Aug 7,1105
150,Aug 6,1106
151,Aug 5,1024
152,Aug 4,760
153,Aug 3,858
154,Aug 2,385
155,Aug 1,412
156,July 31,1012
157,July 30,842
158,July 29,860
159,July 28,572
160,July 27,638
161,July 26,409
162,July 25,372
163,July 24,818
164,July 23,672
165,July 22,580
166,July 21,403
167,July 20,642
168,July 19,273
169,July 18,227
170,July 17,509
171,July 16,584
172,July 15,486
173,July 14,330
174,July 13,486
175,July 12,138
176,July 11,224
177,July 10,390
178,July 9,433
179,July 8,410
180,July 7,298
181,July 6,499
182,July 5,140
183,July 4,418
184,July 3,283
185,July 2,393
186,July 1,492
187,June 30,440
188,June 29,528
189,June 28,175
190,June 27,290
191,June 26,614
192,June 25,531
193,June 24,476
194,June 23,659
195,June 22,544
196,June 21,359
197,June 20,556
198,June 19,534
199,June 18,622
200,June 17,1122
201,June 16,338
202,June 15,373
203,June 14,248
204,June 13,172
205,June 12,456
206,June 11,285
207,June 10,350
208,June 9,311
209,June 8,336
210,June 7,173
211,June 6,282
212,June 5,491
213,June 4,498
214,June 3,334
215,June 2,326
216,June 1,271
217,May 31,200
218,May 30,275
219,May 29,567
220,May 28,557
221,May 27,607
222,May 26,499
223,May 25,461
224,May 24,342
225,May 23,273
226,May 22,692
227,May 21,490
228,May 20,704
229,May 19,538
230,May 18,638
231,May 17,407
232,May 16,545
233,May 15,724
234,May 14,877
235,May 13,927
236,May 12,595
237,May 11,697
238,May 10,555
239,May 9,736
240,May 8,1158
241,May 7,1268
242,May 6,1155
243,May 5,855
244,May 4,488
245,May 3,697
246,May 2,890
247,May 1,1068
248,Apr 30,1470
249,Apr 29,1627
250,Apr 28,1154
251,Apr 27,988
252,Apr 26,1257
253,Apr 25,1514
254,Apr 24,1870
255,Apr 23,2481
256,Apr 22,2195
257,Apr 21,1388
258,Apr 20,1323
259,Apr 19,2018
260,Apr 18,2327
261,Apr 17,3699
262,Apr 16,2945
263,Apr 15,2543
264,Apr 14,2138
265,Apr 13,2218
266,Apr 12,2402
267,Apr 11,3281
268,Apr 10,3936
