,Tennis player,World ranking points
0,"Djokovic, Novak (SRB)",11740
1,"Nadal, Rafael (ESP)",9850
2,"Thiem, Dominic (AUT)",9125
3,Roger Federer (SUI),6630
4,"Tsitsipas, Stefanos (GRC)",5925
5,"Medvedev, Daniil (RUS)",5890
6,"Zverev, Alexander (GER)",4855
7,"Rublev, Andrey (RUS)",3429
8,"Schwartzmann, Diego (ARG)",3180
9,"Berrettini, Matteo (ITA)",3075
10,"Monfils, Gael (FRA)",2860
11,"Shapovalov, Denis (CAN)",2830
12,"Bautista Agut, Roberto (ESP)",2710
13,"Goffin, David (BEL)",2555
14,"Carreno Busta, Pablo (ESP)",2400
15,"Fognini, Fabio (ITA)",2400
16,"Khachanov, Karen (RUS)",2245
17,"Wawrinka, Stan (SUI)",2230
18,"Raonic, Milos (CAN)",2220
19,"Dimitrov, Grigor (BUL)",2145
20,"Garin, Cristian (CHI)",2135
21,"Aliassime, Felix Auger (CAN)",2126
22,"Isner, John (USA)",1850
23,"Coric, Boma (CRO)",1820
24,"Lajovic, Dusan (SRB)",1785
25,"Ruud, Casper (NOR)",1739
26,"Paire, Benoit (FRA)",1738
27,"Fritz, Taylor",1670
28,"De Minaur, Alex (AUS)",1665
29,"Krajinovic, Filip (SRB)",1628
30,"Hurkacz, Hubert (POL)",1493
31,"Struff, Jan-Lennard (GER)",1450
32,"Opelka, Reilly (USA)",1402
33,"Basilashvili, Nikoloz (GEO)",1395
34,"Evans, Daniel (GBR)",1384
35,"Nishikori, Kei (JPN)",1345
36,"Pella, Guido (ARG)",1310
37,"Humbert, Ugo (FRA)",1306
38,"Kecmanovic, Miomir (SRB)",1283
39,"Cilic, Marin (CRO)",1280
40,"Mannarino, Adrian (FRA)",1271
41,"Sonego, Lorenzo (ITA)",1253
42,"Kyrgios, Nick (AUS)",1170
43,"Millman, John (AUS)",1166
44,"Ramos-Vinolas, Albert (ESP)",1165
45,Sinner Jannik (ITA),1136
46,"Edmund, Kyle (GBR)",1085
47,Sandgren Tennys (USA),1078
48,Bublik Alexander (KAZ),1070
49,"Querrey, Sam (USA)",1065
