,Country,Index points
0,Iceland,95
1,Estonia,94
2,Canada,87
3,Germany,80
4,United Kingdom,78
5,France,77
6,Australia,76
7,Georgia,76
8,Italy,76
9,United States,76
10,Armenia,75
11,Japan,75
12,Argentina,71
13,Hungary,71
14,South Africa,70
15,Kenya,76
16,Colombia,66
17,South Korea,66
18,Philippines,64
19,Tunisia,64
20,Brazil,63
21,Angola,62
22,Mexico,61
23,Ukraine,61
24,Malawi,60
25,Nigeria,60
26,Zambia,59
27,Malaysia,58
28,Ecuador,57
29,Kyrgyzstan,56
30,Uganda,56
31,Singapore,54
32,Lebanon,52
33,Morocco,52
34,Sri Lanka,52
35,India,51
36,Libya,50
37,Indonesia,49
38,Jordan,49
39,The Gambia,49
40,Zimbabwe,46
41,Cambodia,43
42,Bangladesh,42
43,Rwanda,39
44,Azerbaijan,38
45,Belarus,38
46,Thailand,35
47,Turkey,35
48,Kazakhstan,32
49,Myanmar,31
50,Russia,30
51,Sudan,30
52,Bahrain,29
53,Ethiopia,29
54,United Arab Emirates,29
55,Venezuela,28
56,Uzbekistan,27
57,Egypt,26
58,Pakistan,26
59,Saudi Arabia,26
60,Cuba,22
61,Vietnam,22
62,Syria,17
63,Iran,15
64,China,10
