,association football club,Average number of spectators
0,Real Madrid  C.F.,24374
1,FC Barcelona,23592
2,Sevilla FC,23258
3,RC Celta de Vigo,23084
4,Real Sociedad,22987
5,Granada CF,21992
6,Getafe CF,21497
7,Athletic Club,21340
8,Levante UD,20873
9,S.D. Eibar,20549
10,Valencia  C.F .,20386
11,Club Atlético de Madrid,20024
12,Villarreal C.F.,19845
13,Real Valladolid,19663
14,CD Leganés,19194
15,Real Betis,18247
16,RCD Espanyol,17348
17,Mallorca,17020
18,CA Osasuna,16799
19,Deportivo Alavés,16553
