,Response,Share of GDP
0,Real estate and rental and leasing,13.01%
1,Manufacturing,11.98%
2,Finance and insurance,9.15%
3,"Professional, scientific and technical services",7.42%
4,Health care and social assistance,7.37%
5,Public administration,7.33%
6,Construction,6.78%
7,Wholesale trade,6.05%
8,Educational services,5.75%
9,Retail trade,4.91%
10,Transportation and warehousing,4.3%
11,"Administrative and support, waste management and remediation services",3.39%
12,Information and cultural industries,3.35%
13,Accommodation and food services,2.12%
14,Other services (except public administration),1.93%
15,Utilities,1.92%
16,"Agriculture, forestry, fishing and hunting",0.92%
17,"Mining, quarrying, and oil and gas extraction",0.88%
18,"Arts, entertainment and recreation",0.85%
19,Management of companies and enterprises,0.6%
