,State,Number of residents in millions
0,California,39.51
1,Texas,29.0
2,Florida,21.48
3,New York,19.45
4,Pennsylvania,12.8
5,Illinois,12.67
6,Ohio,11.69
7,Georgia,10.62
8,North Carolina,10.49
9,Michigan,9.99
10,New Jersey,8.88
11,Virginia,8.54
12,Washington,7.61
13,Arizona,7.28
14,Massachusetts,6.89
15,Tennessee,6.83
16,Indiana,6.73
17,Missouri,6.14
18,Maryland,6.05
19,Wisconsin,5.82
20,Colorado,5.76
21,Minnesota,5.64
22,South Carolina,5.15
23,Alabama,4.9
24,Louisiana,4.65
25,Kentucky,4.47
26,Oregon,4.22
27,Oklahoma,3.96
28,Connecticut,3.57
29,Utah,3.21
30,Iowa,3.16
31,Nevada,3.08
32,Arkansas,3.02
33,Mississippi,2.98
34,Kansas,2.91
35,New Mexico,2.1
36,Nebraska,1.93
37,West Virginia,1.79
38,Idaho,1.79
39,Hawaii,1.42
40,New Hampshire,1.36
41,Maine,1.34
42,Montana,1.07
43,Rhode Island,1.06
44,Delaware,0.97
45,South Dakota,0.88
46,North Dakota,0.76
47,Alaska,0.73
48,District of Columbia,0.71
49,Vermont,0.62
50,Wyoming,0.58
