,Year,Crude birth rate
0,2020,7.5
1,2015,8.4
2,2010,8.7
3,2005,8.9
4,2000,9.4
5,1995,9.8
6,1990,11.1
7,1985,12.8
8,1980,15.1
9,1975,18.9
10,1970,17.9
11,1965,17.5
12,1960,18.2
13,1955,23.6
14,1950,29.45
15,1945,28.73
16,1940,28.94
17,1935,31.6
18,1930,33.44
19,1925,34.68
20,1920,33.68
21,1915,34.36
22,1910,33.42
23,1905,32.4
24,1900,31.52
25,1895,29.0
26,1890,28.8
27,1885,25.9
28,1880,24.5
29,1875,25.0
30,1870,29.9
31,1865,33.85
32,1860,34.05
33,1855,33.67
34,1850,33.29
35,1845,32.91
36,1840,32.55
37,1835,32.39
38,1830,32.26
39,1825,32.12
40,1820,31.98
41,1815,31.82
42,1810,31.07
43,1805,30.18
44,1800,29.61
