,Donors,Amount contributed in U.S. dollars
0,Alphabet Inc,394699
1,University of California,335524
2,Microsoft Corp,180066
3,US Postal Service,154968
4,Apple Inc,152960
5,US Dept of Veterans Affairs,125639
6,US Navy,120782
7,Kaiser Permanente,119204
8,Amazon.com,117848
9,IBM Corp,113125
10,Boeing Co,105550
11,US Army,103029
12,State of California,96850
13,US Air Force,96321
14,AT&T Inc,96050
15,Intel Corp,91333
16,US Government,89999
17,University of Washington,84014
18,Harvard University,81484
19,US Dept of Defense,77822
