,municipality,Number of Police officers
0,Toronto,4790
1,Montréal,4295
2,Calgary,2123
3,Peel,2022
4,Edmonton,1885
5,York,1543
6,Winnipeg,1405
7,Vancouver,1330
8,Ottawa,1223
9,Durham,904
10,Surrey,798
11,Waterloo,757
12,Niagara,720
13,Québec,719
14,Halton,714
15,Longueuil,611
16,London,590
17,Laval,586
18,Halifax,530
19,Windsor,471
20,Saskatoon,465
21,Regina,397
22,Gatineau,393
23,St. John's,335
24,Burnaby,292
25,Greater  Sudbury,261
26,Richmond,245
27,Thunder Bay,242
28,Barrie,240
29,Victoria,238
30,Richelieu-Saint- Laurent,214
31,Abbotsford,214
32,Sherbrooke,209
33,Langley,208
34,Kingston,205
35,Guelph,201
36,Kelowna,196
37,Saguenay,187
38,Brantford,187
39,Red Deer,173
40,Terrebonne,171
41,Coquitlam,171
42,Chatham-Kent,164
43,Trois-Rivières,161
44,Delta,159
45,Lévis,155
46,Saanich,151
47,Codiac,143
48,Roussillon,115
