,Year,Public,Private
0,2028*,14.98,5.33
1,2027*,14.97,5.33
2,2026*,14.94,5.32
3,2025*,14.88,5.3
4,2024*,14.82,5.28
5,2023*,14.77,5.27
6,2022*,14.74,5.26
7,2021*,14.71,5.25
8,2020*,14.69,5.24
9,2019*,14.67,5.24
10,2018*,14.61,5.22
11,2017,14.56,5.1
12,2016,14.59,5.26
13,2015,14.57,5.42
14,2014,14.65,5.55
15,2013,14.75,5.63
16,2012,14.88,5.76
17,2011,15.12,5.89
18,2010,15.14,5.88
19,2009,14.81,5.5
20,2008,13.97,5.13
21,2007,13.49,4.76
22,2006,13.18,4.58
23,2005,13.02,4.47
24,2004,12.98,4.29
25,2003,12.86,4.05
26,2002,12.75,3.86
27,2001,12.23,3.69
28,2000,11.75,3.56
29,1999,11.38,3.47
30,1998,11.14,3.37
31,1997,11.2,3.31
32,1996,11.12,3.25
33,1995,11.09,3.17
34,1994,11.13,3.15
35,1993,11.19,3.12
36,1992,11.38,3.1
37,1991,11.31,3.05
38,1990,10.84,2.97
39,1989,10.58,2.96
40,1988,10.16,2.89
41,1987,9.97,2.79
42,1986,9.71,2.79
43,1985,9.48,2.77
44,1984,9.48,2.76
45,1983,9.68,2.78
46,1982,9.7,2.73
47,1981,9.65,2.72
48,1980,9.46,2.64
49,1979,9.04,2.53
50,1978,8.79,2.47
51,1977,8.85,2.44
52,1976,8.65,2.36
53,1975,8.83,2.35
54,1974,7.99,2.24
55,1973,7.42,2.18
56,1972,7.07,2.14
57,1971,6.8,2.14
58,1970,6.43,2.15
59,1969,5.9,2.11
60,1968,5.43,2.08
61,1967,4.82,2.1
62,1966,4.35,2.04
63,1965,3.97,1.95
