,Year,Inflation rate compared to the previous year
0,2024*,1%
1,2023*,1.04%
2,2022*,0.97%
3,2021*,0.87%
4,2020*,0.64%
5,2019*,0.57%
6,2018,0.94%
7,2017,0.53%
8,2016,-0.43%
9,2015,-1.14%
10,2014,-0.01%
11,2013,-0.22%
12,2012,-0.69%
13,2011,0.23%
14,2010,0.69%
15,2009,-0.48%
16,2008,2.43%
17,2007,0.74%
18,2006,1.06%
19,2005,1.17%
20,2004,0.8%
21,2003,0.64%
22,2002,0.64%
23,2001,0.99%
24,2000,1.56%
25,1999,0.81%
26,1998,0.02%
27,1997,0.52%
28,1996,0.81%
29,1995,1.8%
30,1994,0.85%
31,1993,3.29%
32,1992,4.04%
33,1991,5.86%
34,1990,5.4%
35,1989,3.15%
36,1988,1.87%
37,1987,1.44%
38,1986,0.74%
39,1985,3.43%
40,1984,2.94%
