,province of China,GDP per capita in yuan
0,Beijing*,164220
1,Shanghai*,157279
2,Jiangsu,123607
3,Zhejiang,107624
4,Fujian,107139
5,Guangdong,94172
6,Tianjin*,90371
7,Hubei,77387
8,Chongqing*,75828
9,National average,70892
10,Shandong,70653
11,Inner Mongolia,67852
12,Shaanxi,66649
13,Anhui,58496
14,Hunan,57540
15,Liaoning,57191
16,Hainan,56507
17,Henan,56388
18,Sichuan,55774
19,Xinjiang,54280
20,Ningxia,54217
21,Jiangxi,53164
22,Qinghai,48981
23,Tibet,48902
24,Yunnan,47944
25,Guizhou,46433
26,Hebei,46348
27,Shanxi,45724
28,Jilin,43475
29,Guangxi,42964
30,Heilongjiang,36183
31,Gansu,32995
