,Pokemon trading card,Estimated value in U.S dollars
0,Pokémon Pikachu Illustrator Card,100000
1,Pokemon Snap Card*,15989
2,Japanese L-P Promo Cards (Master Key),10000
3,Pre-Release Raichu Card,10000
4,Tropical Mega Battle Card,10000
5,Japanese Parent/Child Mega Battle Card,10000
6,Mint Condition Crystal Cards set*,9875
7,First Edition Holofoils set*,8496
8,Munchlax (Chicago 2009) Promo card,4500
9,Piplup (San Diego 2007) Promo card,4500
10,Turtwig (New York 2008) Promo card,4500
11,First Edition Charizard Card,575
