,State,Number of licensed drivers
0,California,27039400
1,Texas,17370383
2,Florida,15368695
3,New York,12194360
4,Pennsylvania,8991370
5,Illinois,8714788
6,Ohio,8032665
7,North Carolina,7509231
8,Georgia,7168733
9,Michigan,7153645
10,New Jersey,6342876
11,Virginia,5929031
12,Washington,5909967
13,Tennessee,5422429
14,Arizona,5284970
15,Massachusetts,4935176
16,Indiana,4589405
17,Maryland,4407973
18,Wisconsin,4288171
19,Missouri,4272960
20,Colorado,4244713
21,Alabama,3999057
22,South Carolina,3846069
23,Louisiana,3425435
24,Minnesota,3391057
25,Kentucky,3032530
26,Oregon,2930702
27,Connecticut,2605612
28,Oklahoma,2504253
29,Iowa,2260271
30,Kansas,2149430
31,Arkansas,2145334
32,Mississippi,2058036
33,Utah,2030644
34,Nevada,1983453
35,New Mexico,1458433
36,Nebraska,1420317
37,Idaho,1252535
38,New Hampshire,1161665
39,West Virginia,1136775
40,Maine,1040582
41,Hawaii*,948417
42,Montana,806204
43,Delaware,786504
44,Rhode Island,756966
45,South Dakota,638428
46,Vermont,564892
47,North Dakota,561333
48,Alaska*,536033
49,Dist. of Col.,527731
50,Wyoming,419256
