,Month,Total gross consumer lending billion GBP*
0,Sep 20,21.44
1,Aug 20,21.32
2,Jul 20,20.82
3,Jun 20,17.55
4,May 20,13.59
5,Apr 20,11.77
6,Mar 20,20.59
7,Feb 20,25.81
8,Jan 20,25.79
9,Dec 19,25.82
10,Nov 19,25.2
11,Oct 19,25.08
12,Sep 19,25.23
13,Aug 19,25.46
14,Jul 19,25.19
15,Jun 19,25.19
16,May 19,25.11
17,Apr 19,25.18
18,Mar 19,24.93
19,Feb 19,24.92
20,Jan 19,24.8
21,Dec 18,24.62
22,Nov 18,24.71
23,Oct 18,24.64
24,Sept 18,24.38
25,Aug 18,24.47
26,Jul 18,24.61
27,Jun 18,24.73
28,May 18,24.57
29,Apr 18,24.2
