,Country,Direct investments in million Canadian dollars
0,United States,631580
1,United Kingdom,106989
2,Luxembourg,101214
3,Bermuda,63502
4,Barbados,49777
5,Cayman Islands,42683
6,Australia,37810
7,Netherlands,35935
8,Mexico,27933
9,Bahamas,26265
10,Chile,22507
11,Switzerland,16015
12,Peru,14662
13,People's Republic of China,13391
14,Brazil,12248
15,Hong Kong,11710
16,Germany,11553
17,British Virgin Islands,10529
18,France,10320
19,Ireland,9477
20,Singapore,9320
21,Japan,8383
22,Spain,7607
23,Mongolia,6204
24,Colombia,5951
25,Mauritius,5091
26,Malta,4345
27,Indonesia,3846
28,Sweden,3697
29,Panama,3687
30,Kazakhstan,3244
31,Philippines,3132
32,Cyprus,2643
33,Austria,2511
34,India,2508
35,Ecuador,2499
36,South Korea,2152
37,Burkina Faso,2048
38,Denmark,1887
39,Argentina,1638
40,Finland,1517
41,Kyrgyzstan,1469
42,Norway,1464
43,Belgium,1425
44,Russian Federation,1344
45,New Zealand,1337
46,Turkey,1303
47,Uruguay,1011
48,Romania,906
49,South Africa,859
50,Papua New Guinea,850
51,Albania,826
52,Senegal,818
53,Ivory Coast,799
54,Namibia,753
55,Honduras,707
56,Cambodia,696
57,Nicaragua,687
58,Mali,667
59,Dominican Republic,584
60,Taiwan,556
61,Czech Republic,540
62,"Tanzania, United Republic of",491
63,Lithuania,485
64,Portugal,469
65,Italy,464
66,Eritrea,425
67,Nigeria,390
68,Guyana,354
69,Costa Rica,346
70,Poland,341
71,Hungary,307
72,Thailand,302
73,El Salvador,261
74,Belize,245
75,Netherlands Antilles,232
76,Viet Nam,222
77,"Congo, Democratic Republic of the",208
78,Ghana,199
79,Botswana,192
80,Bolivia,143
81,Saint Lucia,127
82,Greece,120
83,Bulgaria,119
84,Trinidad and Tobago,117
85,United Arab Emirates,112
86,Estonia,96
87,Suriname,87
88,Guatemala,77
89,Tunisia,57
90,Central African Republic,57
91,Ukraine,43
92,French Guiana,33
93,Gabon,32
94,Madagascar,22
95,Kuwait,17
96,Guinea,16
97,Kenya,16
98,Jamaica,15
99,Sudan,13
100,Malaysia,12
101,Congo,10
102,Monaco,8
103,Sri Lanka,8
104,Haiti,6
105,Guadeloupe,6
106,Egypt,6
107,Brunei Darussalam,5
108,Zambia,4
109,Aruba,3
110,Dominica,3
111,Latvia,3
112,Cuba,1
113,Iceland,1
114,Venezuela,1
115,Oman,1
116,Grenada,1
117,Croatia,-1
118,Georgia,-1
119,Malawi,-2
120,Ethiopia,-4
121,Morocco,-4
122,Qatar,-7
123,Iraq,-10
124,Saudi Arabia,-10
125,Angola,-37
126,Niger,-49
127,Algeria,-112
128,Israel,-382
129,Mauritania,-2246
