,Week ending,Number of new cases
0,"Jan 3, 2021",1546543
1,"Dec 27, 2020",1762351
2,"Dec 20, 2020",1640521
3,"Dec 13, 2020",1665876
4,"Dec 6, 2020",1649508
5,"Nov 29, 2020",1677874
6,"Nov 22, 2020",1756637
7,"Nov 15, 2020",1864898
8,"Nov 8, 2020",2042757
9,"Nov 1, 2020",1791609
10,"Oct 25, 2020",1453474
11,"Oct 18, 2020",1022065
12,"Oct 11, 2020",732829
13,"Oct 4, 2020",495953
14,"Sep 27, 2020",429833
15,"Sep 20, 2020",372262
16,"Sep 13, 2020",307711
17,"Sep 6, 2020",258870
18,"Aug 30, 2020",226318
19,"Aug 23, 2020",197544
20,"Aug 16, 2020",178613
21,"Aug 9, 2020",152078
22,"Aug 2, 2020",134642
23,"Jul 26, 2020",123813
24,"Jul 19, 2020",113031
25,"Jul 12, 2020",108359
26,"Jul 5, 2020",109595
27,"Jun 28, 2020",117689
28,"Jun 21, 2020",122765
29,"Jun 14, 2020",124405
30,"Jun 7, 2020",119813
31,"May 31, 2020",125857
32,"May 24, 2020",130554
33,"May 17, 2020",152273
34,"May 10, 2020",175816
35,"May 3, 2020",172191
36,"Apr 26, 2020",201373
37,"Apr 19, 2020",222171
38,"Apr 12, 2020",244387
39,"Apr 5, 2020",256042
40,"Mar 29, 2020",228198
41,"Mar 22, 2020",129156
42,"Mar 15, 2020",47477
43,"Mar 8, 2020",11008
44,"Mar 1, 2020",2114
45,"Feb 23, 2020",131
46,"Feb 16, 2020",5
47,"Feb 9, 2020",17
48,"Feb 2, 2020",21
49,"Jan 26, 2020",3
