,Month,Number of new cured patients
0,June 18,40
1,June 17,57
2,June 16,15
3,June 15,21
4,June 14,42
5,June 13,49
6,June 12,45
7,June 11,61
8,June 10,68
9,June 9,9
10,June 8,24
11,June 7,101
12,June 6,78
13,June 5,64
14,June 4,89
15,June 3,25
16,June 2,14
17,June 1,32
18,May 31,118
19,May 30,87
20,May 29,109
21,May 28,107
22,May 27,145
23,May 26,23
24,May 25,25
25,May 24,117
26,May 23,32
27,May 22,135
28,May 21,141
29,May 20,160
30,May 19,30
31,May 18,27
32,May 17,170
33,May 16,159
34,May 15,190
35,May 14,173
36,May 13,205
37,May 12,35
38,May 11,55
39,May 10,231
40,May 9,210
41,May 8,221
42,May 7,244
43,May 6,290
44,May 5,63
45,May 4,69
46,May 3,98
47,May 2,319
48,May 1,316
49,April 30,293
50,April 29,340
51,April 28,65
52,April 27,93
53,April 26,368
54,April 25,295
55,April 24,322
56,April 23,367
57,April 22,432
58,April 21,107
59,April 20,138
60,April 19,409
61,April 18,387
62,April 17,399
63,April 16,455
64,April 15,239
65,April 14,161
66,April 13,239
67,April 12,477
68,April 11,418
69,April 10,404
70,April 9,483
71,April 8,524
72,April 7,171
73,April 6,235
74,April 5,504
75,April 4,375
76,April 3,377
77,April 2,363
78,April 1,436
79,March 31,168
80,March 30,168
81,March 29,296
82,March 28,205
83,March 27,183
84,March 26,128
85,March 25,115
86,March 24,60
