,State,Number of cases
0,New York,68785
1,California,63795
2,Texas,63271
3,Michigan,37703
4,Florida,36795
5,Illinois,31515
6,Massachusetts,25812
7,Indiana,25731
8,Ohio,25158
9,Kentucky,23752
10,South Carolina,19130
11,Arizona,15504
12,Oklahoma,15355
13,Oregon,12581
14,Alabama,12158
15,Colorado,11879
16,Iowa,11764
17,Georgia,11090
18,Utah,10122
19,Mississippi,10002
20,Louisiana,9380
21,Tennessee,9186
22,Arkansas,8538
23,New Mexico,8024
24,Minnesota,7785
25,Maryland,7743
26,Connecticut,7652
27,West Virginia,6946
28,North Carolina,6502
29,Virginia,6132
30,New Jersey,6008
31,Missouri,5662
32,Nevada,5162
33,Wisconsin,5017
34,Pennsylvania,4695
35,Washington,4498
36,Puerto Rico,4381
37,Montana,3763
38,Rhode Island,3644
39,Maine,3481
40,Kansas,3188
41,Nebraska,2635
42,Alaska,2615
43,North Dakota,2097
44,Idaho,1919
45,District of Columbia,1699
46,South Dakota,1426
47,New Hampshire,1331
48,Hawaii,1265
49,Delaware,1251
50,Wyoming,1044
51,Vermont,958
