,Country,GDP in billion U.S. dollars
0,Brazil,1839.8
1,Mexico,1258.3
2,Argentina,449.7
3,Colombia,323.8
4,Chile,282.3
5,Peru,226.8
6,Ecuador,107.4
7,Puerto Rico,105.0
8,Dominican Republic,88.9
9,Guatemala,76.7
10,Panama,66.8
11,Costa Rica,61.8
12,Uruguay,56.0
13,Bolivia,40.9
14,Paraguay,38.1
15,El Salvador,27.0
16,Honduras,25.1
17,Trinidad and Tobago,24.1
18,Jamaica,16.5
19,Bahamas,12.8
20,Nicaragua,12.5
21,Haiti,8.5
22,Barbados,5.2
23,Guyana,4.3
24,Suriname,4.0
25,St. Lucia,2.1
26,Belize,1.9
27,Antigua and Barbuda,1.7
28,Grenada,1.2
29,St. Kitts and Nevis,1.1
30,St. Vincent and the Grenadines,0.8
31,Dominica,0.6
