,Postsecondary Program Enrollment Category,Number of interntional students
0,"Business, management and public administration",83817
1,"Architecture, engineering and related technologies",49785
2,Humanities,31212
3,Social and behavioural sciences and law,30840
4,"Mathematics, computer and information sciences",27612
5,Physical and life sciences and technologies,23118
6,Health and related fields,14175
7,Visual and performing arts and communications technologies,8757
8,"Agriculture, natural resources and conservation",5529
9,Other instructional programs,4500
10,Personal improvement and leisure,4332
11,Education,3219
12,"Personal, protective and transportation services",2814
