,Month,Price in GBP per kilogram
0,Nov '19,1.91
1,Oct '19,1.63
2,Sep '19,1.62
3,Aug '19,1.68
4,Jul '19,1.7
5,Jun '19,1.23
6,May '19,1.51
7,Apr '19,1.35
8,Dec '18,1.0
9,Nov '18,1.43
10,Oct '18,1.52
11,Sep '18,1.75
12,Aug '18,2.1
13,Jul '18,1.38
14,Jun '18,1.29
15,May '18,1.06
16,Dec '17,1.05
17,Nov '17,0.95
18,Oct '17,0.86
19,Sep '17,0.87
20,Aug '17,0.83
21,Jul '17,0.91
22,Jun '17,0.85
23,May '17,0.97
24,Apr '17,1.12
25,Mar '17,1.25
26,Dec '16,1.13
27,Nov '16,0.76
28,Oct '16,0.75
29,Sep '16,0.8
30,Aug '16,0.91
31,Jul '16,0.94
32,Jun '16,0.97
33,May '16,0.96
34,Apr '16,1.03
35,Dec '15,0.63
36,Nov '15,0.63
37,Oct '15,0.65
38,Sep '15,0.68
39,Aug '15,0.64
40,Jul '15,0.65
41,Jun '15,0.75
42,May '15,0.83
43,Apr '15,0.95
