,Month,Number of homicides
0,Jun 20,9
1,May 20,8
2,Apr 20,12
3,Mar 20,12
4,Feb 20,7
5,Jan 20,11
6,Dec 19,18
7,Nov 19,9
8,Oct 19,10
9,Sep19,11
10,Aug 19,11
11,Jul 19,15
12,Jun 19,19
13,May 19,12
14,Apr 19,12
15,Mar 19,15
16,Feb 19,9
17,Jan 19,8
18,Dec 18,6
19,Nov 18,11
20,Oct 18,10
21,Sep 18,9
22,Aug 18,13
23,Jul 18,6
24,Jun 18,6
25,May 18,13
26,Apr 18,16
27,Mar 18,18
28,Feb 18,18
29,Jan 18,9
30,Dec 17,10
31,Nov 17,11
32,Oct 17,14
33,Sep 17,8
34,Aug 17,14
35,Jul 17,10
36,Jun 17,21
37,May 17,15
38,Apr 17,15
39,Mar 17,11
40,Feb 17,6
41,Jan 17,6
42,Dec 16,12
43,Nov 16,11
44,Oct 16,11
45,Sep 16,11
46,Aug 16,16
47,Jul 16,5
48,Jun 16,6
49,May 16,7
50,Apr 16,9
51,Mar 16,10
52,Feb 16,5
53,Jan 16,10
54,Dec 15,8
55,Nov 15,13
56,Oct 15,10
57,Sep 15,17
58,Aug 15,8
59,Jul 15,7
60,Jun 15,12
61,May 15,6
62,Apr 15,5
63,Mar 15,8
64,Feb 15,12
65,Jan 15,14
66,Dec 14,8
67,Nov 14,9
68,Oct 14,4
69,Sep 14,8
70,Aug 14,8
71,Jul 14,7
72,Jun 14,8
73,May 14,10
74,Apr 14,8
75,Mar 14,12
76,Feb 14,9
77,Jan 14,4
78,Dec 13,11
79,Nov 13,8
80,Oct 13,9
81,Sep 13,7
82,Aug 13,11
83,Jul 13,13
84,Jun 13,10
85,May 13,9
86,Apr 13,7
87,Mar 13,8
88,Feb 13,7
89,Jan 13,9
90,Dec 12,13
91,Nov 12,13
92,Oct 12,8
93,Sep 12,9
94,Aug 12,10
95,Jul 12,4
96,Jun 12,12
97,May 12,12
98,Apr 12,5
99,Mar 12,6
100,Feb 12,10
101,Jan 12,4
102,Dec 11,8
103,Nov 11,8
104,Oct 11,7
105,Sep 11,7
106,Aug 11,14
107,Jul 11,9
108,Jun 11,10
109,May 11,10
110,Apr 11,9
111,Mar 11,10
112,Feb 11,12
113,Jan 11,13
114,Dec 10,14
115,Nov 10,12
116,Oct 10,10
117,Sep 10,10
118,Aug 10,5
119,Jul 10,12
120,Jun 10,8
121,May 10,11
122,Apr 10,17
