,Exhbition and Convention Centers ,Exhibit space in million square feet
0,"National Exhibition and Convention Centre (Shanghai, China)",4.04
1,"China Import & Export Fair Complex (Guangzhou, China)",3.38
2,"Shanghai New International Expo Centre (Shanghai, China)",2.0
3,"Guangdong Modern International Exhibition Center (Dongguan, China)",1.5
4,"IMPACT Exhibition and Convention Center (Nonthaburi, Thailand)",1.4
5,"KINTEX (Goyang-si, South Korea)",1.08
6,"China International Exhibition Center (Beijing, China)",1.07
7,"Shenzhen Convention & Exhibition Center (Shenzhen, China)",1.05
8,Singapore EXPO Convention Center,1.0
9,Suzhou International Expo Center (SuzhouExpo),1.0
