,Month,Sales in million GBP
0,Jun 20,2347.7
1,May 20,2190.8
2,Apr 20,1793.0
3,Mar 20,1515.4
4,Feb 20,1321.0
5,Jan 20,1378.6
6,Dec 19,2074.3
7,Nov 19,1804.0
8,Oct 19,1449.9
9,Sep 19,1321.8
10,Aug 19,1331.6
11,Jul 19,1419.4
12,Jun 19,1353.8
13,May 19,1378.3
14,Apr 19,1348.1
15,Mar 19,1345.2
16,Feb 19,1243.2
17,Jan 19,1278.7
18,Dec 18,1854.6
19,Nov 18,1816.9
20,Oct 18,1332.9
21,Sep 18,1219.0
22,Aug 18,1192.9
23,July 18,1246.2
24,June 18,1248.2
25,May 18,1264.2
26,Apr 18,1178.2
27,Mar 18,1175.7
28,Feb 18,1093.9
29,Jan 18,1126.9
30,Dec 17,1641.6
31,Nov 17,1068.4
32,Oct 17,1179.7
33,Sep 17,1090.7
34,Aug 17,1046.7
35,Jul 17,1074.4
36,Jun 17,1078.9
37,May 17,1043.1
38,Apr 17,1042.7
39,Mar 17,1009.1
40,Feb 17,949.0
41,Jan 17,992.4
42,Dec 16,1505.6
43,Nov 16,1460.5
44,Oct 16,1076.8
45,Sep 16,960.5
46,Aug 16,879.6
47,Jul 16,894.2
48,Jun 16,898.5
49,May 16,890.5
50,Apr 16,854.0
51,Mar 16,811.7
52,Feb 16,776.5
53,Jan 16,854.4
