,State,Number of People
0,California,4159031
1,Texas,4041891
2,Florida,3556473
3,New York,3170465
4,Illinois,2040053
5,Georgia,1948189
6,Ohio,1824675
7,Pennsylvania,1784790
8,Michigan,1775646
9,North Carolina,1703700
10,Tennessee,1342089
11,Washington,1113441
12,Arizona,1111105
13,Virgin Islands,940932
14,Louisiana,940100
15,Missouri,929943
16,Indiana,926011
17,Alabama,915322
18,Massachusetts,887619
19,New Jersey,876266
20,South Carolina,875866
21,Kentucky,872439
22,Wisconsin,856730
23,Oregon,817575
24,Maryland,771021
25,Mississippi,668624
26,Oklahoma,621831
27,Minnesota,552928
28,Colorado,507934
29,Arkansas,504621
30,New Mexico,440362
31,Connecticut,425320
32,Iowa,420344
33,Nevada,360953
34,West Virginia,350695
35,Kansas,316983
36,Utah,251626
37,Maine,249119
38,Idaho,227006
39,Hawaii,189350
40,Rhode Island,179925
41,Nebraska,179711
42,Delaware,153137
43,District of Columbia,144889
44,Montana,128531
45,New Hampshire,117315
46,South Dakota,104052
47,Vermont,100541
48,Alaska,91364
49,North Dakota,56523
50,Guam,45554
51,Wyoming,38046
52,Virginia,27436
