,Month,Production in million metric tons
0,Bananas,115.74
1,Watermelons,103.97
2,Apples,86.14
3,Grapes,79.19
4,Oranges,75.54
5,"Mangoes, mangosteens, guavas",55.38
6,Plantains and others,39.48
7,"Tangerines, mandarins, clementines, satsumas",34.39
8,"Fruit, fresh nes",33.92
9,Pineapples,27.92
10,"Melons, other (inc.cantaloupes)",27.35
11,Peaches and nectarines,24.45
12,"Fruit, tropical fresh nes",23.87
13,Pears,23.73
14,Lemons and limes,19.39
15,"Fruit, citrus nes",13.9
16,Papayas,13.29
17,Plums and sloes,12.61
18,Grapefruit (inc. pomelos),9.37
19,Dates,8.53
20,Strawberries,8.34
21,Avocados,6.41
22,Persimmons,4.71
23,Kiwi fruit,4.02
24,Apricots,3.87
25,Cherries,2.56
26,Cashewapple,1.71
27,"Cherries, sour",1.53
28,Figs,1.14
29,Berries nes,1.01
30,Raspberries,0.87
31,Cranberries,0.72
