,Merge / Aquisitions,Deal value in billion euros
0,Allergan plc - AbbVie Inc.,75.77
1,Alcon Inc - Novartis AG (Shareholders),23.67
2,Nestle Skin Health S.A. - A consortium led by EQT Partners AB and Abu Dhabi Investment Authority,9.03
3,"Metro AG (89.09% stake) - EP Global Commerce, a.s.",8.76
4,WABCO - ZF Friedrichshafen AG,6.45
5,UPC Switzerland LLC - Sunrise Communications AG,5.54
6,"RPC Group Plc - Berry Plastics Group, Inc.",5.22
7,Merlin Entertainments Plc (71.08% stake) - Kirkbi - Blackstone CPPIB consortium,5.11
8,Axel Springer SE (54.6% stake) - Kohlberg Kravis Roberts & Co. L.P.,4.95
9,Altran Technologies S.A - Capgemini SA,4.91
