,Player,Number of matches played
0,M Raj (IND),209
1,CM Edwards (ENG),191
2,J Goswami (IND),182
3,AJ Blackwell (AUS),144
4,JL Gunn (ENG),144
5,KL Rolton (AUS),141
6,SJ McGlashan (NZ),134
7,M du Preez (SA),130
8,A Chopra (IND),127
9,LS Greenway (ENG),126
10,SC Taylor (ENG),126
11,SJ Taylor (ENG),126
12,SR Taylor (WI),126
13,NJ Browne (NZ),125
14,LC Sthalekar (AUS),125
15,SW Bates (NZ),124
16,KH Brunt (ENG),123
17,A Mohammed (WI),122
18,Sana Mir (PAK),120
19,AE Satterthwaite (NZ),119
20,BJ Clark (AUS),118
21,DA Hockley (NZ),118
22,HASD Siriwardene (SL),118
