,Month,Traffic growth
0,Jul 13,23.6%
1,Jul 12,23.8%
2,Jul 11,19.2%
3,Jul 10,22.5%
4,Jul 9,21.6%
5,Jul 8,20.8%
6,Jul 7,20.3%
7,Jul 6,22.6%
8,Jul 5,18.8%
9,Jul 4,15.5%
10,Jul 3,23.2%
11,Jul 2,25%
12,Jul 1,22.6%
13,Jun 30,22.5%
14,Jun 29,30.6%
15,Jun 28,28.2%
16,Jun 27,25%
17,Jun 26,21.9%
18,Jun 25,20.7%
19,Jun 24,16.2%
20,Jun 23,18.1%
21,Jun 22,18.7%
22,Jun 21,16.9%
23,Jun 20,11.7%
24,Jun 19,17.3%
25,Jun 18,20.6%
26,Jun 17,20.1%
27,Jun 16,17.2%
28,Jun 15,16.6%
29,Jun 14,14.4%
30,Jun 13,10.9%
31,Jun 12,15.8%
32,Jun 11,13.9%
33,Jun 10,17.3%
34,Jun 9,15.8%
35,Jun 8,16.3%
36,Jun 7,15.2%
37,Jun 6,13.2%
38,Jun 5,19.5%
39,Jun 4,17.9%
40,Jun 3,15.5%
41,Jun 2,17.8%
42,Jun 1,17.8%
43,May 31,16.9%
44,May 30,11%
45,May 29,17.4%
46,May 28,15.4%
47,May 27,12.5%
48,May 26,16.2%
49,May 25,16.4%
50,May 24,13.5%
51,May 23,7.8%
52,May 22,15.6%
53,May 21,9.2%
54,May 20,12.9%
55,May 19,13.4%
56,May 18,13.2%
57,May 17,13%
58,May 16,8.8%
59,May 15,17.4%
60,May 14,16.6%
61,May 13,15.7%
62,May 12,21.5%
63,May 11,15.7%
64,May 10,12.6%
65,May 9,6.6%
66,May 8,17.5%
67,May 7,16.8%
68,May 6,16.2%
69,May 5,14.8%
70,May 4,12.5%
71,May 3,13.7%
72,May 2,12.5%
73,May 1,15.3%
74,Apr 30,19.7%
75,Apr 29,21.1%
76,Apr 28,20.8%
77,Apr 27,26.4%
78,Apr 26,23.4%
79,Apr 25,21.2%
80,Apr 24,27.2%
81,Apr 23,28.9%
82,Apr 22,27.8%
83,Apr 21,25.7%
84,Apr 20,29.5%
85,Apr 19,23.7%
86,Apr 18,19.8%
87,Apr 17,28.1%
88,Apr 16,30.4%
89,Apr 15,28.7%
90,Apr 14,28.9%
91,Apr 13,23.3%
92,Apr 12,18.2%
93,Apr 11,14.8%
94,Apr 10,20.8%
95,Apr 9,18%
96,Apr 8,18.4%
97,Apr 7,19.1%
98,Apr 6,22.4%
99,Apr 5,23.1%
100,Apr 4,21.6%
101,Apr 3,25.1%
102,Apr 2,14.9%
103,Apr 1,21.6%
104,Mar 31,23%
105,Mar 30,25.6%
106,Mar 29,28.6%
107,Mar 28,30.3%
108,Mar 27,37.9%
109,Mar 26,45.7%
110,Mar 25,53.2%
111,Mar 24,57.1%
112,Mar 23,3.3%
113,Mar 22,2.8%
114,Mar 21,2.1%
115,Mar 20,3.9%
116,Mar 19,3.8%
117,Mar 18,4.8%
118,Mar 17,5.3%
119,Mar 15,6.6%
120,Mar 14,3.3%
121,Mar 13,2.7%
122,Mar 12,0.5%
123,Mar 11,-0.2%
124,Mar 10,2.2%
125,Mar 9,3.9%
126,Mar 8,-1.7%
127,Mar 6,0.2%
128,Mar 5,1.1%
129,Mar 4,-1.2%
130,Mar 3,0.2%
131,Mar 2,2.7%
132,Mar 1,3.7%
133,Feb 29,1.5%
134,Feb 25,2.5%
135,Feb 24,1.2%
