,Country,Estimated Christian population in millions
0,United States,243.06
1,Brazil,173.3
2,Mexico,107.91
3,Russia,104.75
4,Philippines,86.37
5,Nigeria,78.05
6,China,68.41
7,Democratic Republic of the Congo,63.21
8,Germany,56.54
9,Ethiopia,52.07
10,Italy,50.44
11,United Kingdom,44.1
12,Colombia,42.81
13,South Africa,40.71
14,France,39.56
15,Ukraine,38.1
16,Spain,36.24
17,Poland,36.1
18,Argentina,34.42
19,Kenya,34.34
20,India,31.13
21,Uganda,28.98
22,Peru,27.78
23,Tanzania,27.54
24,Venezuela,25.89
