,State,Number of households in thousands
0,California,13157.87
1,Texas,9985.13
2,Florida,7905.83
3,New York,7446.81
4,Pennsylvania,5119.25
5,Illinois,4866.01
6,Ohio,4730.34
7,North Carolina,4046.35
8,Michigan,3969.88
9,Georgia,3852.71
10,New Jersey,3286.26
11,Virginia,3191.85
12,Washington,2932.48
13,Arizona,2670.44
14,Tennessee,2654.74
15,Massachusetts,2650.68
16,Indiana,2597.77
17,Missouri,2458.34
18,Wisconsin,2386.62
19,Colorado,2235.1
20,Maryland,2226.77
21,Minnesota,2222.57
22,South Carolina,1975.92
23,Alabama,1897.58
24,Kentucky,1748.73
25,Louisiana,1741.08
26,Oregon,1649.35
27,Oklahoma,1495.15
28,Connecticut,1377.17
29,Iowa,1287.22
30,Arkansas,1163.65
31,Nevada,1143.56
32,Kansas,1138.33
33,Mississippi,1100.23
34,Utah,1023.86
35,New Mexico,793.42
36,Nebraska,771.44
37,West Virginia,728.18
38,Idaho,655.86
39,Maine,573.62
40,New Hampshire,541.4
41,Hawaii,465.3
42,Montana,437.65
43,Rhode Island,407.17
44,Delaware,376.24
45,South Dakota,353.8
46,North Dakota,323.52
47,District of Columbia,291.57
48,Vermont,262.77
49,Alaska,252.2
50,Wyoming,233.13
