,Month,Number of deaths
0,"Nov 29, 2020",332
1,"Nov 28, 2020",328
2,"Nov 27, 2020",328
3,"Nov 26, 2020",316
4,"Nov 25, 2020",316
5,"Nov 24, 2020",314
6,"Nov 23, 2020",311
7,"Nov 22, 2020",306
8,"Nov 21, 2020",306
9,"Nov 20, 2020",305
10,"Nov 19, 2020",300
11,"Nov 18, 2020",298
12,"Nov 17, 2020",294
13,"Nov 16, 2020",294
14,"Nov 15, 2020",294
15,"Nov 14, 2020",294
16,"Nov 13, 2020",291
17,"Nov 12, 2020",285
18,"Nov 11, 2020",285
19,"Nov 10, 2020",285
20,"Nov 9, 2020",285
21,"Nov 8, 2020",285
22,"Nov 7, 2020",285
23,"Nov 6, 2020",285
24,"Nov 5, 2020",283
25,"Nov 4, 2020",282
26,"Nov 3, 2020",282
27,"Nov 2, 2020",282
28,"Nov 1, 2020",282
29,"Oct 31, 2020",282
30,"Oct 30, 2020",282
31,"Oct 29, 2020",281
32,"Oct 28, 2020",280
33,"Oct 27, 2020",280
34,"Oct 26, 2020",279
35,"Oct 25, 2020",279
36,"Oct 24, 2020",279
37,"Oct 23, 2020",279
38,"Oct 22, 2020",279
39,"Oct 21, 2020",279
40,"Oct 20, 2020",278
41,"Oct 19, 2020",278
42,"Oct 18, 2020",278
43,"Oct 17, 2020",278
44,"Oct 16, 2020",278
45,"Oct 15, 2020",278
46,"Oct 14, 2020",277
47,"Oct 13, 2020",277
48,"Oct 12, 2020",276
49,"Oct 11, 2020",275
50,"Oct 10, 2020",275
51,"Oct 9, 2020",275
52,"Oct 8, 2020",275
53,"Oct 7, 2020",275
54,"Oct 6, 2020",275
55,"Oct 5, 2020",275
56,"Oct 4, 2020",275
57,"Oct 3, 2020",275
58,"Oct 2, 2020",275
59,"Oct 1, 2020",274
60,"Sep 30, 2020",274
61,"Sep 29, 2020",274
62,"Sep 28, 2020",274
63,"Sep 27, 2020",270
64,"Sep 26, 2020",270
65,"Sep 25, 2020",270
66,"Sep 24, 2020",270
67,"Sep 23, 2020",267
68,"Sep 22, 2020",267
69,"Sep 21, 2020",267
70,"Sep 20, 2020",267
71,"Sep 19, 2020",267
72,"Sep 18, 2020",267
73,"Sep 17, 2020",266
74,"Sep 16, 2020",265
75,"Sep 15, 2020",265
76,"Sep 14, 2020",265
77,"Sep 13, 2020",265
78,"Sep 12, 2020",265
79,"Sep 11, 2020",265
80,"Sep 10, 2020",265
81,"Sep 9, 2020",264
82,"Sep 8, 2020",264
83,"Sep 7, 2020",264
84,"Sep 6, 2020",264
85,"Sep 5, 2020",264
86,"Sep 4, 2020",264
87,"Sep 3, 2020",264
88,"Sep 2, 2020",264
89,"Sep 1, 2020",264
90,"Aug 31, 2020",264
91,"Aug 30, 2020",264
92,"Aug 29, 2020",264
93,"Aug 28, 2020",264
94,"Aug 27, 2020",264
95,"Aug 26, 2020",264
96,"Aug 25, 2020",264
97,"Aug 24, 2020",264
98,"Aug 23, 2020",264
99,"Aug 22, 2020",264
100,"Aug 21, 2020",264
101,"Aug 20, 2020",264
102,"Aug 19, 2929",262
103,"Aug 18, 2020",262
104,"Aug 17, 2020",262
105,"Aug 16, 2020",261
106,"Aug 15, 2020",261
107,"Aug 14, 2020",261
108,"Aug 13, 2020",257
109,"Aug 12, 2020",256
110,"Aug 11, 2020",256
111,"Aug 10, 2020",256
112,"Aug 9, 2020",256
113,"Aug 8, 2020",256
114,"Aug 7, 2020",256
115,"Aug 6, 2020",256
116,"Aug 5, 2020",256
117,"Aug 4, 2020",256
118,"Aug 3, 2020",256
119,"Aug 2, 2020",255
120,"Aug 1, 2020",255
121,"Jul 31, 2020",255
122,"Jul 30, 2020",255
123,"Jul 29, 2020",255
124,"Jul 28, 2020",255
125,"Jul 27, 2020",255
126,"Jul 26, 2020",255
127,"Jul 25, 2020",255
128,"Jul 24, 2020",255
129,"Jul 23, 2020",255
130,"Jul 22, 2020",255
131,"Jul 21, 2020",255
132,"Jul 20, 2020",255
133,"Jul 19, 2020",255
134,"Jul 18, 2020",255
135,"Jul 17, 2020",255
136,"Jul 16, 2020",254
137,"Jul 15, 2020",253
138,"Jul 14, 2020",253
139,"Jul 13, 2020",253
140,"Jul 12, 2020",252
141,"Jul 11, 2020",252
142,"Jul 10, 2020",252
143,"Jul 09, 2020",252
144,"Jul 08, 2020",251
145,"Jul 07, 2020",251
146,"Jul 06, 2020",251
147,"Jul 05, 2020",251
148,"Jul 04, 2020",251
149,"Jul 03, 2020",251
150,"Jul 02, 2020",251
151,"Jul 01, 2020",251
152,"Jun 30, 2020",250
153,"Jun 29, 2020",249
154,"Jun 28, 2020",249
155,"Jun 27, 2020",249
156,"Jun 26, 2020",249
157,"Jun 25, 2020",249
158,"Jun 24, 2020",249
159,"Jun 23, 2020",248
160,"Jun 22, 2020",248
161,"Jun 21, 2020",244
162,"Jun 20, 2020",244
163,"Jun 19, 2020",244
164,"Jun 18, 2020",244
165,"Jun 17, 2020",243
166,"Jun 16, 2020",242
167,"Jun 15, 2020",242
168,"Jun 14, 2020",242
169,"Jun 13, 2020",242
170,"Jun 12, 2020",242
171,"Jun 11, 2020",242
172,"Jun 10, 2020",239
173,"Jun 09, 2020",239
174,"Jun 08, 2020",239
175,"Jun 07, 2020",238
176,"Jun 06, 2020",238
177,"Jun 05, 2020",238
178,"Jun 04, 2020",238
179,"Jun 03, 2020",237
180,"Jun 02, 2020",237
181,"Jun 01, 2020",236
182,"May 31, 2020",236
183,"May 30, 2020",236
184,"May 29, 2020",236
185,"May 28, 2020",236
186,"May 27, 2020",235
187,"May 26, 2020",235
188,"May 25, 2020",235
189,"May 24, 2020",235
190,"May 23, 2020",235
191,"May 22, 2020",235
192,"May 21, 2020",234
193,"May 20, 2020",234
194,"May 19, 2020",233
195,"May 18, 2020",233
196,"May 17, 2020",233
197,"May 16, 2020",232
198,"May 15, 2020",232
199,"May 14, 2020",232
200,"May 13, 2020",230
201,"May 12, 2020",228
202,"May 11, 2020",224
203,"May 10, 2020",222
204,"May 09, 2020",221
205,"May 08, 2020",219
206,"May 07, 2020",219
207,"May 06, 2020",216
208,"May 05, 2020",216
209,"May 04, 2020",214
210,"May 03, 2020",214
211,"May 02, 2020",214
212,"May 01, 2020",213
213,"Apr 30, 2020",211
214,"Apr 29, 2020",208
215,"Apr 28, 2020",207
216,"Apr 27, 2020",207
217,"Apr 26, 2020",204
218,"Apr 25, 2020",202
219,"Apr 24, 2020",201
220,"Apr 23, 2020",197
221,"Apr 22, 2020",188
222,"Apr 21, 2020",186
223,"Apr 20, 2020",184
224,"Apr 19, 2020",179
225,"Apr 18, 2020",171
226,"Apr 17, 2020",164
227,"Apr 16, 2020",157
228,"Apr 15, 2020",152
229,"Apr 14, 2020",145
230,"Apr 13, 2020",139
231,"Apr 12, 2020",133
232,"Apr 11, 2020",127
233,"Apr 10, 2020",116
234,"Apr 09, 2020",111
235,"Apr 08, 2020",108
236,"Apr 07, 2020",91
237,"Apr 06, 2020",82
238,"Apr 05, 2020",75
239,"Apr 04, 2020",69
240,"Apr 03, 2020",61
241,"Apr 02, 2020",54
242,"Apr 01, 2020",47
243,"Mar 31, 2020",43
244,"Mar 30, 2020",37
245,"Mar 29, 2020",31
246,"Mar 28, 2020",25
247,"Mar 27, 2020",22
248,"Mar 26, 2020",14
249,"Mar 25, 2020",13
250,"Mar 24, 2020",12
251,"Mar 23, 2020",10
252,"Mar 22, 2020",7
253,"Mar 21, 2020",7
254,"Mar 20, 2020",7
255,"Mar 19, 2020",7
256,"Mar 18, 2020",6
257,"Mar 17, 2020",3
258,"Mar 16, 2020",3
259,"Mar 15, 2020",3
260,"Mar 14, 2020",3
261,"Mar 13, 2020",1
262,"Mar 12, 2020",1
