,Quarter,Debt to equity ratio
0,Q2 20,94.66%
1,Q1 20,93.55%
2,Q4 19,84.87%
3,Q3 19,84.53%
4,Q2 19,85%
5,Q1 19,86.77%
6,Q4 18,84.41%
7,Q3 18,84.73%
8,Q2 18,83.18%
9,Q1 18,85.72%
10,Q4 17,85.34%
11,Q3 17,86.53%
12,Q2 17,87.05%
13,Q1 17,89.22%
14,Q4 16,90.08%
15,Q3 16,89.64%
16,Q2 16,92.02%
17,Q1 16,92.74%
18,Q4 15,90.48%
19,Q3 15,89.24%
20,Q2 15,87.97%
21,Q1 15,86.86%
22,Q4 14,88.53%
23,Q3 14,86.85%
24,Q2 14,87.07%
25,Q1 14,88.04%
26,Q4 13,86.58%
27,Q3 13,88.7%
28,Q2 13,90.33%
29,Q1 13,92.26%
30,Q4 12,92.99%
31,Q3 12,90.71%
32,Q2 12,91.02%
33,Q1 12,90.54%
