,Physician Specialty,Male,Female
0,Allergy & immunology,2939,1833
1,Anatomic/clinical pathology,7983,4847
2,Anesthesiology,31094,10624
3,Cardiovascular disease,19054,3138
4,Child & adolescent psychiatry,435,4849
5,Critical care medicine,8529,3013
6,Dermatology,6151,5889
7,Emergency medicine,30657,11658
8,"Endocrinology, diabetes & metabolism",3815,3668
9,Family medicine/general practice,68004,45342
10,Gastroenterology,12135,2593
11,General surgery,19865,5157
12,Geriatric medicine,2653,2939
13,Hematology & oncology,10268,5122
14,Infectious disease,5369,3753
15,Internal medicine,71577,43770
16,Internal medicine/pediatrics,2416,2704
17,Interventional cardiology,3546,294
18,Neonatal-perinatal medicine,2700,2826
19,Nephrology,7728,3057
20,Neurological surgery,5065,463
21,Neurology,9674,4029
22,Neuroradiology,2958,718
23,Obstetrics & gynecology,17879,23740
24,Ophthalmology,14041,4767
25,Orthopedic surgery,17981,1016
26,Otolaryngology,7890,1630
27,Pain medicine & pain management,4350,982
28,Pediatric cardiology,1750,979
29,Pediatric hematology/oncology,1302,1489
30,Pediatrics,21437,36945
31,Physical medicine & rehabilitation,6032,3284
32,Plastic surgery,5995,1144
33,Preventive medicine,4374,2235
34,Psychiatry,23244,14941
35,Pulmonary disease,4644,620
36,Radiation oncology,3661,1365
37,Radiology & diagnostic radiology,20601,7101
38,Rheumatology,3246,2622
39,Sports medicine (orthopedic surgery),2440,172
40,Thoracic surgery,4102,309
41,Urology,9051,866
42,Vascular & interventional radiology,3090,325
43,Vascular surgery,3204,482
