,non-metropolitan district,Average spend in GBP
0,No Region Given,49.45£
1,Cornwall,99.42£
2,North Devon,51.45£
3,South Devon,96.32£
4,South Coast 1,97.39£
5,South Coast 2,109.48£
6,South Coast 3,49.31£
7,East Devon,48.77£
8,North East,106.99£
9,East Coast,117.46£
10,Morray Firth,221.88£
11,North Coast,275£
12,Outer Hebrides,175£
13,Orkney Islands,338£
14,Inner Hebrides,112.5£
15,Cardiff,99.2£
16,Swansea,92.36£
17,West Wales,104.38£
18,North Wales,38.23£
19,Northern Island,43.84£
20,Land Locked,43.13£
