,Country,Number of ski areas
0,Germany,498
1,Russia,354
2,Italy,349
3,France,325
4,Austria,254
5,Sweden,228
6,Norway,213
7,Czech Republic,191
8,Switzerland,186
9,Poland,182
10,Slovakia,107
11,Finland,76
12,Turkey,60
13,Ukraine,54
14,Romania,45
15,Slovenia,44
16,Spain,32
17,Bulgaria,32
18,Serbia,31
19,Latvia,26
20,Greece,22
21,Kazakhstan,19
22,Bosnia and Herzegovina,18
23,Hungary,15
24,Croatia,13
25,Iceland,13
26,Albania,10
27,United Kingdom,10
28,Estonia,9
29,Georgia,8
30,Macedonia,8
31,Belgium,7
32,Lithuania,6
33,Belarus,6
34,Denmark,5
35,Andorra,3
36,Armenia,3
37,Azerbaijan,2
38,Portugal,1
39,Liechtenstein,1
