,ice hockey team,Average player salary in million U.S. dollars
0,Minnesota Wild,3.32
1,Pittsburgh Penguins,3.28
2,St Louis Blues,3.19
3,Nashville Predators,3.16
4,Vegas Golden Knights,3.12
5,Colorado Avalanche,3.09
6,Buffalo Sabres,3.07
7,Winnipeg Jets,3.06
8,Florida Panthers,3.06
9,Calgary Flames,3.05
10,New Jersey Devils,2.97
11,Columbus Blue Jackets,2.92
12,Carolina Hurricanes,2.91
13,Anaheim Ducks,2.83
14,Philadelphia Flyers,2.82
15,Arizona Coyotes,2.76
16,Dallas Stars,2.71
17,Detroit Red Wings,2.67
18,New York Islanders,2.64
19,Chicago Blackhawks,2.52
20,Tampa Bay Lightning,2.47
21,New York Rangers,2.42
22,Edmonton Oilers,2.41
23,Washington Capitals,2.4
24,Boston Bruins,2.38
25,San Jose Sharks,2.37
26,Los Angeles Kings,2.33
27,Ottawa Senators,2.16
28,Montreal Canadiens,2.09
29,Vancouver Canucks,2.02
30,Toronto Maple Leafs,1.54
