,Quarter,Profit in million U.S. dollars
0,Q1 '17,99.0
1,Q4 '16,162.0
2,Q3 '16,163.0
3,Q2 '16,-440.0
4,Q1 '16,-98.29
5,Q4 '15,-4435.0
6,Q3 '15,76.26
7,Q2 '15,-21.55
8,Q1 '15,21.2
9,Q4 '14,166.0
10,Q3 '14*,6774.1
11,Q2 '14,269.71
12,Q1 '14,311.58
13,Q4 '13,348.19
14,Q3 '13,296.66
15,Q2 '13,331.15
16,Q1 '13,390.29
17,Q4 '12,272.27
18,Q3 '12*,3160.24
19,Q2 '12,226.63
20,Q1 '12,286.34
21,Q4 '11,295.57
22,Q3 '11,293.29
23,Q2 '11,236.97
24,Q1 '11,222.99
25,Q4 '10,312.02
26,Q3 '10,396.13
27,Q2 '10,213.32
28,Q1 '10,310.19
29,Q4 '09,152.95
30,Q3 '09,186.09
31,Q2 '09,141.39
32,Q1 '09,117.56
33,Q4 '08,-303.43
34,Q3 '08,54.35
35,Q2 '08,131.22
36,Q1 '08,536.84
37,Q4 '07,205.72
38,Q3 '07,151.29
39,Q2 '07,160.57
40,Q1 '07,142.42
41,Q4 '06,268.67
42,Q3 '06,158.53
43,Q2 '06,164.33
44,Q1 '06,159.86
45,Q4 '05,683.21
46,Q3 '05,253.77
47,Q2 '05,754.69
48,Q1 '05,204.56
