,Year,Estimated population in millions
0,1971,55.93
1,1972,56.1
2,1973,56.22
3,1974,56.24
4,1975,56.23
5,1976,56.22
6,1977,56.19
7,1978,56.18
8,1979,56.24
9,1980,56.33
10,1981,56.36
11,1982,56.29
12,1983,56.32
13,1984,56.41
14,1985,56.55
15,1986,56.68
16,1987,56.8
17,1988,56.92
18,1989,57.08
19,1990,57.24
20,1991,57.44
21,1992,57.58
22,1993,57.71
23,1994,57.86
24,1995,58.02
25,1996,58.16
26,1997,58.31
27,1998,58.47
28,1999,58.68
29,2000,58.89
30,2001,59.11
31,2002,59.37
32,2003,59.64
33,2004,59.95
34,2005,60.41
35,2006,60.83
36,2007,61.32
37,2008,61.82
38,2009,62.26
39,2010,62.76
40,2011,63.29
41,2012,63.71
42,2013,64.11
43,2014,64.6
44,2015,65.11
45,2016,65.65
46,2017,66.04
47,2018,66.44
48,2019,66.8
