,association football club,Average player salary in thousand U.S. dollars
0,Vissel Kobe,1572.24
1,Urawa Red Diamonds,447.43
2,Sagan Tosu,431.05
3,Kawasaki Frontale,413.56
4,Nagoya Grampus,375.94
5,Kashima Antlers,310.89
6,Cerezo Osaka,257.49
7,FC Tokyo,254.06
8,Shimizu S-Pulse,243.14
9,Jubilo Iwata,214.48
10,Gamba Osaka,211.91
11,Yokohama F Marinos,202.08
12,Consadole Sapporo,201.53
13,Sanfrecce Hiroshima,193.95
14,Vegalta Sendai,177.22
15,Matsumoto Yamaga,150.26
16,Shonan Bellmare,132.41
17,Oita Trinita,70.58
