,Year,Population in thousands
0,2020,5792.2
1,2019,5771.88
2,2018,5752.13
3,2017,5732.28
4,2016,5711.35
5,2015,5688.7
6,2014,5664.2
7,2013,5638.15
8,2012,5610.91
9,2011,5582.98
10,2010,5554.85
11,2009,5526.39
12,2008,5497.73
13,2007,5469.92
14,2006,5444.29
15,2005,5421.7
16,2004,5402.75
17,2003,5386.97
18,2002,5372.8
19,2001,5358.06
20,2000,5341.19
21,1999,5321.77
22,1998,5300.38
23,1997,5277.71
24,1996,5254.86
25,1995,5232.71
26,1994,5211.33
27,1993,5190.75
28,1992,5171.65
29,1991,5154.91
30,1990,5141.12
31,1989,5130.36
32,1988,5122.44
33,1987,5117.28
34,1986,5114.65
35,1985,5114.25
36,1984,5116.06
37,1983,5119.61
38,1982,5123.35
39,1981,5125.3
40,1980,5123.95
41,1979,5118.71
42,1978,5109.69
43,1977,5097.05
44,1976,5081.26
45,1975,5062.73
46,1974,5041.41
47,1973,5017.25
48,1972,4990.55
49,1971,4961.76
50,1970,4931.24
51,1969,4899.29
52,1968,4866.07
53,1967,4831.75
54,1966,4796.48
55,1965,4760.46
56,1964,4723.62
57,1963,4686.27
58,1962,4649.34
59,1961,4614.03
60,1960,4581.1
61,1959,4550.68
62,1958,4522.34
63,1957,4495.22
64,1956,4468.35
65,1955,4440.78
66,1954,4411.66
67,1953,4380.31
68,1952,4346.19
69,1951,4308.92
70,1950,4268.28
71,1949,4230
72,1948,4190
73,1947,4140
74,1946,4100
75,1945,4050
76,1944,4010
77,1943,3970
78,1942,3920
79,1941,3880
80,1940,3850
81,1939,3810
82,1938,3780
83,1937,3750
84,1936,3720
85,1935,3690
86,1934,3660
87,1933,3630
88,1932,3600
89,1931,3580
90,1930,3550
91,1929,3520
92,1928,3490
93,1927,3450
94,1926,3420
95,1925,3390
96,1924,3360
97,1923,3330
98,1922,3310
99,1921,3270
100,1920,3240
101,1919,3210
102,1918,3170
103,1917,3130
104,1916,3100
105,1915,3060
106,1914,3030
107,1913,2990
108,1912,2960
109,1911,2920
110,1910,2890
111,1909,2850
112,1908,2820
113,1907,2790
114,1906,2750
115,1905,2720
116,1904,2690
117,1903,2660
118,1902,2630
119,1901,2600
120,1900,2570
121,1899,2540
122,1898,2510
123,1897,2480
124,1896,2450
125,1895,2430
126,1894,2400
127,1893,2370
128,1892,2350
129,1891,2320
130,1890,2300
131,1889,2270
132,1888,2250
133,1887,2230
134,1886,2210
135,1885,2190
136,1884,2170
137,1883,2140
138,1882,2120
139,1881,2100
140,1880,2080
141,1879,2060
142,1878,2040
143,1877,2020
144,1876,2000
145,1875,1980
146,1874,1960
147,1873,1950
148,1872,1930
149,1871,1910
150,1870,1890
151,1869,1870
152,1868,1850
153,1867,1830
154,1866,1810
155,1865,1790
156,1864,1770
157,1863,1750
158,1862,1730
159,1861,1710
160,1860,1690
161,1859,1680
162,1858,1660
163,1857,1630
164,1856,1610
165,1855,1590
166,1854,1580
167,1853,1560
168,1852,1540
169,1851,1520
170,1850,1500
171,1849,1490
172,1848,1470
173,1847,1460
174,1846,1440
175,1845,1430
176,1844,1410
177,1843,1400
178,1842,1380
179,1841,1370
180,1840,1360
181,1839,1350
182,1838,1340
183,1837,1330
184,1836,1320
185,1835,1310
186,1834,1310
187,1833,1300
188,1832,1290
189,1831,1280
190,1830,1270
191,1829,1260
192,1828,1250
193,1827,1240
194,1826,1220
195,1825,1210
196,1824,1200
197,1823,1190
198,1822,1180
199,1821,1170
200,1820,1160
201,1819,1150
202,1818,1140
203,1817,1130
204,1816,1120
205,1815,1110
206,1814,1110
207,1813,1100
208,1812,1090
209,1811,1080
210,1810,1070
211,1809,1070
212,1808,1060
213,1807,1050
214,1806,1040
215,1805,1040
216,1804,1030
217,1803,1020
218,1802,1010
219,1801,1010
220,1800,1000
221,...,-
222,1787,842
223,....,-
224,1769,798
