,Response,Share of respondents
0,Don't want to share anything on Facebook,62.39%
1,Would rather share or communicate in other ways,58.97%
2,Don't trust Facebook,57.26%
3,Don't want to connect with anyone on Facebook,50.43%
4,Facebook invades my privacy,49.15%
5,Facebook makes me give up too much information,31.2%
6,Don't like reading updates from others,29.91%
7,Don't like Facebook's user experience,29.49%
8,Don't like ads on Facebook,18.8%
9,Other,13.25%
10,Facebook site or app is too slow,5.13%
11,Internet access isn't good enough,2.56%
