,university,Number of students
0,Stockholm University,34171
1,University of Gothenburg,33426
2,Uppsala University,32051
3,Lund University,29829
4,Linköping University,22551
5,Umeå University,21806
6,Linnaeus University,20291
7,Malmö University,14926
8,KTH Royal Institute of Technology,14263
9,Karlstad University,10992
10,Örebro University,10920
11,Mälardalen University College,10676
12,Chalmers University of Technology,10102
13,Mid Sweden University,10007
14,Luleå University of Technology,9534
15,Dalarna University,9203
16,Jönköping University,9065
17,Gävle University College,8833
18,Kristianstad University,8604
19,University of Borås,8299
