,Country,Number of skiers in thousands
0,Germany,14607
1,France,8574
2,Italy,7266
3,United Kingdom,6340
4,Estonia,6300
5,Poland,4937
6,Russia,4275
7,Austria,2960
8,Switzerland,2959
9,Spain,2329
10,Czech Republic,2236
11,Sweden,1824
12,Finland,1264
13,Belgium,1253
14,Norway,1181
15,Ukraine,1114
16,Slovakia,979
17,Turkey,807
18,Denmark,667
19,Romania,588
20,Hungary,587
21,Bulgaria,349
22,Slovenia,299
23,Kazakhstan,266
24,Croatia,227
25,Greece,215
26,Serbia,211
27,Portugal,206
28,Latvia,194
29,Belarus,190
30,Bosnia and Herzegovina,175
31,Macedonia,156
32,Lithuania,141
33,Georgia,93
34,Azerbaijan,72
35,Iceland,63
36,Montenegro,62
37,Armenia,59
38,Uzbekistan,57
39,Kyrgyzstan,55
40,Kosovo,55
41,Albania,29
42,Andorra,15
43,Liechtenstein,14
